Latitude (average),Longitude (average),"Cummulative installed PV capacity (Wp per capita), 2018"
12.5,-69.9667,57.6314422032217
33.0,65.0,0.591837177199225
-12.5,18.5,0.43492708577236
41.0,20.0,0.348872583359615
42.5,1.6,0.0
24.0,54.0,51.2410031025986
-34.0,-64.0,4.2994075987186
40.0,45.0,5.86087833223117
-14.3333,-170.0,75.723429189579
17.05,-61.8,82.0472342812039
-27.0,133.0,390.64323994256
47.3333,13.3333,161.749069208143
40.5,47.5,3.66111216943627
-3.5,30.0,0.456360402305855
50.8333,4.0,352.440556298562
9.5,2.25,0.69655782021982
13.0,-2.0,3.12887074346374
24.0,90.0,1.24631220031374
43.0,25.0,147.432823819769
26.0,50.55,3.18585175976894
24.25,-76.0,3.37101960377554
44.0,18.0,5.71612690884793
53.0,28.0,16.2671292449248
17.25,-88.75,10.9640249457672
32.3333,-64.75,0.0
-17.0,-65.0,6.25377538658461
-17.0,-65.0,6.25377538658461
-10.0,-55.0,10.9610317038628
13.1667,-59.5333,83.7284268475201
4.5,114.6667,2.79745059002895
4.5,114.6667,2.79745059002895
27.5,90.5,0.662783638257993
-22.0,24.0,1.28652967935244
7.0,21.0,0.064289704839536
60.0,-95.0,84.001513700261
47.0,8.0,263.722028996977
-30.0,-71.0,114.100151848775
35.0,105.0,125.66534791381
8.0,-5.0,0.331083177707619
8.0,-5.0,0.331083177707619
6.0,12.0,0.563129225030682
0.0,25.0,0.080886813523576
-1.0,15.0,0.114408556387115
4.0,-72.0,1.74224151153248
-12.1667,44.25,0.0
16.0,-24.0,13.7926722290981
10.0,-84.0,5.60062615000357
21.5,-80.0,8.48463830657203
19.5,-80.5,154.268083647583
35.0,33.0,95.0166699600173
49.75,15.5,195.516622677387
51.0,9.0,553.854466532997
11.5,43.0,0.31285195845326
15.4167,-61.3333,8.37696335078534
56.0,10.0,172.14476857568
19.0,-70.6667,15.6485760783803
28.0,3.0,9.70909905267847
-2.0,-77.5,1.49844679551007
27.0,30.0,7.62012401599434
15.0,39.0,0.603351955307263
40.0,-4.0,101.526527762145
59.0,26.0,8.3277562602015
8.0,38.0,0.10070995113837
