Latitude (average),Longitude (average),"Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (MWp), 2018"
33.0,44.0,36.5,36.5,36.5,36.5
31.5,34.75,1070.0,1070.0,1070.0,1070.0
42.8333,12.8333,20120.0,20120.0,20120.0,20120.0
18.25,-77.5,55.5,55.5,55.5,55.5
31.0,36.0,771.5,771.5,771.5,771.5
36.0,138.0,55500.0,55500.0,55500.0,55500.0
48.0,68.0,209.0,209.0,209.0,209.0
1.0,38.0,92.5,92.5,92.5,92.5
41.0,75.0,0.0,0.0,0.0,0.0
13.0,105.0,28.4,28.4,28.4,28.4
1.4167,173.0,2.9,2.9,2.9,2.9
17.3333,-62.75,1.9,1.9,1.9,1.9
37.0,127.5,7861.9,7861.9,7861.9,7861.9
37.0,127.5,7861.9,7861.9,7861.9,7861.9
29.3375,47.6581,30.5,30.5,30.5,30.5
18.0,105.0,6.7,6.7,6.7,6.7
33.8333,35.8333,41.7,41.7,41.7,41.7
6.5,-9.5,2.6,2.6,2.6,2.6
25.0,17.0,5.1,5.1,5.1,5.1
25.0,17.0,5.1,5.1,5.1,5.1
13.8833,-61.1333,3.8,3.8,3.8,3.8
47.1667,9.5333,0.0,0.0,0.0,0.0
7.0,81.0,159.1,159.1,159.1,159.1
-29.5,28.5,0.4,0.4,0.4,0.4
56.0,24.0,83.8,83.8,83.8,83.8
49.75,6.1667,134.0,134.0,134.0,134.0
57.0,25.0,1.2,1.2,1.2,1.2
22.1667,113.55,0.0,0.0,0.0,0.0
32.0,-5.0,205.5,205.5,205.5,205.5
47.0,29.0,2.0,2.0,2.0,2.0
-20.0,47.0,33.0,33.0,33.0,33.0
3.25,73.0,9.4,9.4,9.4,9.4
23.0,-102.0,2541.0,2541.0,2541.0,2541.0
9.0,168.0,,,,
41.8333,22.0,20.6,20.6,20.6,20.6
17.0,-4.0,19.6,19.6,19.6,19.6
35.8333,14.5833,127.3,127.3,127.3,127.3
22.0,98.0,54.9,54.9,54.9,54.9
22.0,98.0,54.9,54.9,54.9,54.9
42.0,19.0,3.4,3.4,3.4,3.4
46.0,105.0,62.7,62.7,62.7,62.7
15.2,145.75,0.0,0.0,0.0,0.0
-18.25,35.0,17.0,17.0,17.0,17.0
20.0,-12.0,86.1,86.1,86.1,86.1
-20.2833,57.55,30.0,30.0,30.0,30.0
-13.5,34.0,22.7,22.7,22.7,22.7
2.5,112.5,437.8,437.8,437.8,437.8
-22.0,17.0,78.8,78.8,78.8,78.8
-21.5,165.5,32.8,32.8,32.8,32.8
16.0,8.0,20.0,20.0,20.0,20.0
10.0,8.0,19.1,19.1,19.1,19.1
13.0,-85.0,30.3,30.3,30.3,30.3
52.5,5.75,4150.0,4150.0,4150.0,4150.0
62.0,10.0,68.4,68.4,68.4,68.4
28.0,84.0,53.3,53.3,53.3,53.3
-0.5333,166.9167,0.7,0.7,0.7,0.7
-41.0,174.0,79.2,79.2,79.2,79.2
21.0,57.0,8.2,8.2,8.2,8.2
30.0,70.0,1568.1,1568.1,1568.1,1568.1
9.0,-80.0,146.7,146.7,146.7,146.7
-10.0,-76.0,345.1,345.1,345.1,345.1
13.0,122.0,886.4,886.4,886.4,886.4
7.5,134.5,1.3,1.3,1.3,1.3
-6.0,147.0,1.5,1.5,1.5,1.5
52.0,20.0,486.5,486.5,486.5,486.5
18.25,-66.5,165.2,165.2,165.2,165.2
40.0,127.0,10.7,10.7,10.7,10.7
39.5,-8.0,670.2,670.2,670.2,670.2
-23.0,-58.0,0.0,0.0,0.0,0.0
32.0,35.25,,,,
-15.0,-140.0,34.0,34.0,34.0,34.0
25.5,51.25,5.1,5.1,5.1,5.1
46.0,25.0,1377.1,1377.1,1377.1,1377.1
60.0,100.0,545.7,545.7,545.7,545.7
60.0,100.0,545.7,545.7,545.7,545.7
-2.0,30.0,30.3,30.3,30.3,30.3
25.0,45.0,89.3,89.3,89.3,89.3
15.0,30.0,17.6,17.6,17.6,17.6
14.0,-14.0,134.0,134.0,134.0,134.0
1.3667,103.8,150.0,150.0,150.0,150.0
-8.0,159.0,2.5,2.5,2.5,2.5
8.5,-11.5,4.2,4.2,4.2,4.2
13.8333,-88.9167,184.2,184.2,184.2,184.2
43.7667,12.4167,0.0,0.0,0.0,0.0
10.0,49.0,7.1,7.1,7.1,7.1
44.0,21.0,10.0,10.0,10.0,10.0
8.0,30.0,0.5,0.5,0.5,0.5
1.0,7.0,0.1,0.1,0.1,0.1
4.0,-56.0,6.9,6.9,6.9,6.9
48.6667,19.5,531.0,531.0,531.0,531.0
46.0,15.0,255.8,255.8,255.8,255.8
62.0,15.0,421.0,421.0,421.0,421.0
-26.5,31.5,0.9,0.9,0.9,0.9
-4.5833,55.6667,3.5,3.5,3.5,3.5
